ID,County,2000Population,CountySeat,StateAbbreviation,StateName
131,Lafayette County,8559,Lewisville ,AR
132,Pulaski County,361474,Little Rock ,AR
133,Lonoke County,52828,Lonoke ,AR
134,Columbia County,25603,Magnolia ,AR
135,Hot Spring County,30353,Malvern ,AR
136,Lee County,12580,Marianna ,AR
137,Crittenden County,50866,Marion ,AR
138,Searcy County,8261,Marshall ,AR
139,Izard County,13249,Melbourne ,AR
140,Polk County,20229,Mena ,AR
141,Drew County,18723,Monticello ,AR
142,Conway County,20336,Morrilton ,AR
143,Montgomery County,9245,Mount Ida ,AR
144,Baxter County,38386,Mountain Home ,AR
145,Stone County,11499,Mountain View ,AR
146,Pike County,11303,Murfreesboro ,AR
147,Howard County,14300,Nashville ,AR
148,Jackson County,18418,Newport ,AR
149,Franklin County,17771,Ozark ,AR
150,Greene County,37331,Paragould ,AR
151,Logan County,22486,Paris ,AR
152,Perry County,10209,Perryville ,AR
153,Clay County,17609,Piggott ,AR
154,Jefferson County,84278,Pine Bluff ,AR
155,Randolph County,18195,Pocahontas ,AR
156,Nevada County,9955,Prescott ,AR
157,Cleveland County,8571,Rison ,AR
158,Pope County,54469,Russellville ,AR
159,Fulton County,11642,Salem ,AR
160,White County,67165,Searcy ,AR
161,Grant County,16464,Sheridan ,AR
162,Lincoln County,14492,Star City ,AR
163,Miller County,40443,Texarkana ,AR
164,Crawford County,53247,Van Buren ,AR
165,Scott County,10996,Waldron ,AR
166,Lawrence County,17774,Walnut Ridge ,AR
167,Bradley County,12600,Warren ,AR
168,Cross County,19526,Wynne ,AR
169,Marion County,16140,Yellville ,AR
170,Cochise County,117755,Bisbee ,AZ
171,Greenlee County,8547,Clifton ,AZ
172,Coconino County,116320,Flagstaff ,AZ
173,Pinal County,179727,Florence ,AZ
174,Gila County,51335,Globe ,AZ
175,Navajo County,97470,Holbrook ,AZ
176,Mohave County,155032,Kingman ,AZ
177,Santa Cruz County,38381,Nogales ,AZ
178,La Paz County,19715,Parker ,AZ
179,Maricopa County,3072149,Phoenix ,AZ
180,Yavapai County,167517,Prescott ,AZ
181,Graham County,33489,Safford ,AZ
182,Apache County,69423,Saint Johns ,AZ
183,Pima County,843746,Tucson ,AZ
184,Yuma County,160026,Yuma ,AZ
185,Modoc County,9449,Alturas ,CA
186,Placer County,248399,Auburn ,CA
187,Kern County,661645,Bakersfield ,CA
188,Mono County,12853,Bridgeport ,CA
189,Colusa County,18804,Colusa ,CA
190,Del Norte County,27507,Crescent City ,CA
191,Sierra County,3555,Downieville ,CA
192,Imperial County,142361,El Centro ,CA
193,Humboldt County,126518,Eureka ,CA
194,Solano County,394542,Fairfield ,CA
195,Fresno County,799407,Fresno ,CA
196,Kings County,129461,Hanford ,CA
197,San Benito County,53234,Hollister ,CA
198,Inyo County,17945,Independence ,CA
199,Amador County,35100,Jackson ,CA
200,Lake County,58309,Lakeport ,CA
201,Los Angeles County,9519338,Los Angeles ,CA
202,Madera County,123109,Madera ,CA
203,Mariposa County,17130,Mariposa ,CA
204,Alpine County,1208,Markleeville ,CA
205,Contra Costa County,948816,Martinez ,CA
206,Yuba County,60219,Marysville ,CA
207,Merced County,210554,Merced ,CA
208,Stanislaus County,446997,Modesto ,CA
209,Napa County,124279,Napa ,CA
210,Nevada County,92033,Nevada City ,CA
211,Alameda County,1443741,Oakland ,CA
212,Butte County,203171,Oroville ,CA
213,El Dorado County,156299,Placerville ,CA
214,Plumas County,20824,Quincy ,CA
215,Tehama County,56039,Red Bluff ,CA
216,Shasta County,163256,Redding ,CA
217,San Mateo County,707161,Redwood City ,CA
218,Riverside County,1545387,Riverside ,CA
219,Sacramento County,1223499,Sacramento ,CA
220,Monterey County,401762,Salinas ,CA
221,Calaveras County,40554,San Andreas ,CA
222,San Bernardino County,1709434,San Bernardino ,CA
223,San Diego County,2813833,San Diego ,CA
224,San Francisco City & County,776733,San Francisco ,CA
225,Santa Clara County,1682585,San Jose ,CA
226,San Luis Obispo County,246681,San Luis Obispo ,CA
227,Marin County,247289,San Rafael ,CA
228,Orange County,2846289,Santa Ana ,CA
229,Santa Barbara County,399347,Santa Barbara ,CA
230,Santa Cruz County,255602,Santa Cruz ,CA
231,Sonoma County,458614,Santa Rosa ,CA
232,Tuolumne County,54501,Sonora ,CA
233,San Joaquin County,563598,Stockton ,CA
234,Lassen County,33828,Susanville ,CA
235,Mendocino County,86265,Ukiah ,CA
236,Ventura County,753197,Ventura ,CA
237,Tulare County,368021,Visalia ,CA
238,Trinity County,13022,Weaverville ,CA
239,Glenn County,26453,Willows ,CA
240,Yolo County,168660,Woodland ,CA
241,Siskiyou County,44301,Yreka ,CA
242,Sutter County,78930,Yuba City ,CA
243,Washington County,4926,Akron ,CO
244,Alamosa County,14966,Alamosa ,CO
245,Pitkin County,14872,Aspen ,CO
246,Boulder County,291288,Boulder ,CO
247,Summit County,23548,Breckenridge ,CO
248,Adams County,363857,Brighton ,CO
249,Broomfield City and County,38282,Broomfield ,CO
250,Kit Carson County,8011,Burlington ,CO
251,Fremont County,46145,Canon City ,CO
252,Douglas County,175766,Castle Rock ,CO
253,Gilpin County,4757,Central City ,CO
254,Cheyenne County,2231,Cheyenne Wells ,CO
255,El Paso County,516929,Colorado Springs ,CO
256,Conejos County,8400,Conejos ,CO
257,Montezuma County,23830,Cortez ,CO
258,Moffat County,13184,Craig ,CO
259,Mineral County,831,Creede ,CO
260,Teller County,20555,Cripple Creek ,CO
261,Rio Grande County,12413,Del Norte ,CO
262,Delta County,27834,Delta ,CO
263,Denver City and County,554636,Denver ,CO
264,Dolores County,1844,Dove Creek ,CO
265,La Plata County,43941,Durango ,CO
266,Kiowa County,1622,Eads ,CO
267,Eagle County,41659,Eagle ,CO
268,Park County,14523,Fairplay ,CO
269,Larimer County,251494,Fort Collins ,CO
270,Morgan County,27171,Fort Morgan ,CO
271,Clear Creek County,9322,Georgetown ,CO
272,Garfield County,43791,Glenwood Springs ,CO
273,Jefferson County,527056,Golden ,CO
274,Mesa County,116255,Grand Junction ,CO
275,Weld County,180936,Greeley ,CO
276,Gunnison County,13956,Gunnison ,CO
277,Phillips County,4480,Holyoke ,CO
278,Grand County,12442,Hot Sulphur Springs ,CO
279,Lincoln County,6087,Hugo ,CO
280,Sedgwick County,2747,Julesburg ,CO
281,Elbert County,19872,Kiowa ,CO
282,Otero County,20311,La Junta ,CO
283,Hinsdale County,790,Lake City ,CO
284,Prowers County,14483,Lamar ,CO
285,Bent County,5998,Las Animas ,CO
286,Lake County,7812,Leadville ,CO
287,Arapahoe County,487967,Littleton ,CO
288,Rio Blanco County,5986,Meeker ,CO
289,Montrose County,33432,Montrose ,CO
290,Crowley County,5518,Ordway ,CO
291,Ouray County,3742,Ouray ,CO
292,Archuleta County,9898,Pagosa Springs ,CO
293,Pueblo County,141472,Pueblo ,CO
294,Saguache County,5917,Saguache ,CO
295,Chaffee County,16242,Salida ,CO
296,Costilla County,3663,San Luis ,CO
297,San Juan County,558,Silverton ,CO
298,Baca County,4517,Springfield ,CO
299,Routt County,19690,Steamboat Springs ,CO
300,Logan County,20504,Sterling ,CO
301,San Miguel County,6594,Telluride ,CO
302,Las Animas County,15207,Trinidad ,CO
303,Jackson County,1577,Walden ,CO
304,Huerfano County,7862,Walsenburg ,CO
305,Custer County,3503,Westcliffe ,CO
306,Yuma County,9841,Wray ,CO
307,Fairfield County,882567,Bridgeport ,CT
308,Hartford County,857183,Hartford ,CT
309,Litchfield County,182193,Litchfield ,CT
310,Middlesex County,155071,Middletown ,CT
311,New Haven County,824008,New Haven ,CT
312,New London County,259088,New London ,CT
313,Tolland County,136364,Rockville ,CT
314,Windham County,109091,Willimantic ,CT
315,District Of Columbia,572059,Washington ,DC
316,Kent County,126697,Dover ,DE
317,Sussex County,156638,Georgetown ,DE
318,New Castle County,500265,Wilmington ,DE
319,Franklin County,11057,Apalachicola ,FL
320,DeSoto County,32209,Arcadia ,FL
321,Polk County,483924,Bartow ,FL
322,Calhoun County,13017,Blountstown ,FL
323,Holmes County,18564,Bonifay ,FL
324,Manatee County,264002,Bradenton ,FL
325,Liberty County,7021,Bristol ,FL
326,Levy County,34450,Bronson ,FL
327,Hernando County,130802,Brooksville ,FL
328,Flagler County,49832,Bunnell ,FL
329,Sumter County,53345,Bushnell ,FL
330,Washington County,20973,Chipley ,FL
331,Pinellas County,921482,Clearwater ,FL
332,Wakulla County,22863,Crawfordville ,FL
333,Okaloosa County,170498,Crestview ,FL
334,Dixie County,13827,Cross City ,FL
335,Pasco County,344765,Dade City ,FL
336,Volusia County,443343,De Land ,FL
337,Walton County,40601,Defuniak Springs  ,FL
338,Nassau County,57663,Fernandina Beach ,FL
339,Broward County,1623018,Fort Lauderdale ,FL
340,Lee County,440888,Fort Myers ,FL
341,St. Lucie County,192695,Fort Pierce ,FL
342,Alachua County,217955,Gainesville ,FL
343,Clay County,140814,Green Cove Springs ,FL
344,Citrus County,118085,Inverness ,FL
345,Duval County/City of Jacksonville,778879,Jacksonville ,FL
346,Hamilton County,13327,Jasper ,FL
347,Monroe County,79589,Key West ,FL
348,Osceola County,172493,Kissimmee ,FL
349,Hendry County,36210,La Belle ,FL
350,Union County,13442,Lake Butler ,FL
351,Columbia County,56513,Lake City ,FL
352,Suwannee County,34844,Live Oak ,FL
353,Baker County,22259,Macclenny ,FL
354,Madison County,18733,Madison ,FL
355,Jackson County,46755,Marianna ,FL
